"model","group","method","center_at","alpha","se_alpha","p_alpha","p_alpha_fdr","alpha_fmt","alpha_effect_pp_pct","alpha_code","beta","se_beta","p_beta","p_beta_fdr","beta_fmt","beta_dev_round","beta_code"
"ChatGPT","Asian","Raw",0.044,-3.52291760939813,0.313874891167814,3.1104220968741e-29,3.1104220968741e-28,"-3.523***",-1.53,"--",22.3286141388658,2.36515288723656,1.91801801991252e-19,3.83603603982504e-18,"22.329***",1.626,"+++"
"ChatGPT","Black","Raw",0.111,-4.90021852011603,0.459734576138404,1.58632357043897e-26,1.05754904695932e-25,"-4.9***",-10.36,"---",25.1696204351708,2.92036420752929,1.27130994952076e-16,1.27130994952076e-15,"25.17***",-0.629,"---"
"ChatGPT","Hispanic","Raw",0.182,-0.938143765256082,0.221389271815025,2.25991847627708e-05,4.51983695255415e-05,"-0.938***",9.93,"+++",7.46997088308555,1.78372979778947,0.000286495097859782,0.00040927871122826,"7.47***",0.548,"+++"
"ChatGPT","White","Raw",0.786,0.122053609679093,0.204383551594602,0.550387732127116,0.611541924585685,"0.122",-25.55,"---",10.8137739390197,2.52570591630463,0.000102095594474987,0.000170159324124978,"10.814***",1.359,"+++"
"ChatGPT","Women","Raw",0.347,-0.168333153734939,0.242610928606909,0.487782588024534,0.573861868264158,"-0.168",11.1,"+++",10.847656749786,1.59640653748346,6.88799775017276e-10,3.44399887508638e-09,"10.848***",0.139,"++"
"DeepSeek","Asian","Raw",0.0435,-2.21453776976211,0.370937957513673,2.37104022430217e-09,6.77440064086334e-09,"-2.215***",5.5,"+++",17.7445901491005,3.78479241042454,9.68107898471418e-06,3.22702632823806e-05,"17.745***",2.125,"+++"
"DeepSeek","Black","Raw",0.106,-7.71355762716799,0.853073468016674,1.53720036083547e-19,7.68600180417734e-19,"-7.714***",-10.56,"---",26.2403868472341,3.74057641868344,1.5017962774963e-11,1.00119751833087e-10,"26.24***",-0.971,"---"
"DeepSeek","Hispanic","Raw",0.188,-0.721981637894018,0.294047595872958,0.0140758300580219,0.0234597167633698,"-0.722*",13.9,"+++",8.62029209510663,2.69123657452522,0.00463272334256657,0.00579090417820821,"8.62**",0.823,"+++"
"DeepSeek","White","Raw",0.789,0.372113883774562,0.263457537593811,0.157825003459192,0.210433337945589,"0.372",-19.7,"---",6.84896925819275,2.75655717757186,0.033851298973788,0.0398250576162212,"6.849*",0.607,"+++"
"DeepSeek","Women","Raw",0.3535,-0.168715097983041,0.342150544134252,0.621940558314722,0.654674271910234,"-0.169",10.44,"+++",11.5049587739723,2.34556101731131,7.51147895995939e-06,3.00459158398376e-05,"11.505***",0.162,"++"
